"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18718","should successfully log in with valid credentials","webkit","Wed Sep 10 10:19:33 IST 2025","passed","Wed Sep 10 10:19:52 IST 2025","OrangeHRM Login Scenarios","orangehrm-tests\specs\login.test.js","",""
"","27326","should successfully log in with valid credentials","firefox","Wed Sep 10 10:19:33 IST 2025","passed","Wed Sep 10 10:20:00 IST 2025","OrangeHRM Login Scenarios","orangehrm-tests\specs\login.test.js","",""
"","22949","should successfully log in with valid credentials","chromium","Wed Sep 10 10:19:33 IST 2025","passed","Wed Sep 10 10:19:56 IST 2025","OrangeHRM Login Scenarios","orangehrm-tests\specs\login.test.js","",""
